GitHub_Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture
elifesciences/sciencebeam,Y,218,240,5718,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
EpistasisLab/tpot,Y,7159,2275,7458,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
ethen8181/machine-learning,Y,1621,410,18432,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
eth-sri/eran,Y,134,241,5189,The source code of the project exists as ad-hoc scripts.
evilsocket/pwnagotchi,Y,3445,1629,11744,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
explosion/prodigy-recipes,Y,171,103,2472,The source code of the project exists as ad-hoc scripts.
explosion/spacy-transformers,Y,744,811,1222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/ClassyVision,Y,818,218,19341,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/CrypTen,Y,555,158,20555,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/EGG,Y,127,132,7416,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/habitat-api,Y,436,193,20933,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/mmf,Y,3606,577,23492,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/nevergrad,Y,2577,593,17760,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/ParlAI,Y,6296,3265,77405,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/pyrobot,Y,1674,405,12870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/pytext,Y,5895,1088,45722,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/ReAgent,Y,2542,855,35109,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
facebookresearch/vilbert-multi-task,Y,206,289,12384,The source code of the project exists as ad-hoc scripts.
fastai/fastai,Y,18199,5444,27614,The source code of this project has been organised into different modules in a way that shows the relationship between different files.
