GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age
microsoft/ai-edu,N,7874,506,25848,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,57,1770
mlperf/inference,N,288,913,26424,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing,93,1835
mlperf/training,N,978,242,42178,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,50,2002
mravanelli/pytorch-kaldi,N,1641,157,7147,The source code of the project exists as ad-hoc scripts.,https://github.com/mravanelli/pytorch-kaldi/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mravanelli/pytorch-kaldi/graphs/commit-activity shows that there have been few activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mravanelli/pytorch-kaldi/issues/233",No license,there is no evidence of any testing done on the project.,11,2029
opencv/open_model_zoo,N,2039,2503,62396,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/opencv/open_model_zoo/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/opencv/open_model_zoo/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/opencv/open_model_zoo/issues/1292 and https://github.com/opencv/open_model_zoo/issues/1275",https://github.com/opencv/open_model_zoo/blob/master/LICENSE,there is no evidence of any testing done on the project.,151,1802
open-mmlab/mmskeleton,N,1812,658,6676,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/open-mmlab/mmskeleton/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/open-mmlab/mmskeleton/blob/master/mmskeleton/models/backbones/st_gcn_aaai18.py and https://github.com/open-mmlab/mmskeleton/blob/master/mmskeleton/ops/nms/nms.py have appropriate docstrings,https://github.com/open-mmlab/mmskeleton/graphs/commit-activity shows there are few activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/open-mmlab/mmskeleton/issues/334 and https://github.com/open-mmlab/mmskeleton/issues/332",https://github.com/open-mmlab/mmskeleton/blob/master/LICENSE,there is no evidence of any testing done on the project.,9,2127
openseg-group/openseg.pytorch,N,427,172,18832,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openseg-group/openseg.pytorch/graphs/contributors shows that there are only 3 contributors,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/base_oc_block.py and https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/isa_block.py have appropriate docstrings,https://github.com/openseg-group/openseg.pytorch/graphs/commit-activityshows that there have been some activties in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/openseg-group/openseg.pytorch/issues/24 and https://github.com/openseg-group/openseg.pytorch/issues/23",https://github.com/openseg-group/openseg.pytorch/blob/master/LICENSE,there is no evidence of any testing done on the project.,3,1703
osmr/imgclsmob,N,1548,2085,191218,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/osmr/imgclsmob/graphs/contributors shows that there are 3 contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/osmr/imgclsmob/blob/master/pytorch/metrics/det_metrics.py and https://github.com/osmr/imgclsmob/blob/master/pytorch/metrics/cls_metrics.py have appropriate docstrings,https://github.com/osmr/imgclsmob/graphs/commit-activity shows that there have been activties in the past few months with few activities in the past month.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/osmr/imgclsmob/issues/70 and https://github.com/osmr/imgclsmob/issues/67",https://github.com/osmr/imgclsmob/blob/master/LICENSE,There are many files related to testing,3,1900
OUCMachineLearning/OUCML,N,2878,322,11672,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/OUCMachineLearning/OUCML/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity in recent months,The maintainers of the project does not reply to issues or close them.,There are multiple license files as there are multiple projects for this,There are files related to testing but not much,6,1759
PacktPublishing/Advanced-Deep-Learning-with-Keras,N,681,424,7986,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/8 and https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/2",https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/blob/master/LICENSE is provided.,There are test files for some of the projects,5,2016
